scenario,n,q,s,circuit,compile_time_s,compile_size_mb,zkey_time_s,zkey_size_mb,export_time_s,export_size_mb,total_time_s,total_size_mb,constraints
S2,256,2,1,VoteProofCombined,4.419,9.331,24.209,6.195,0.788,0.007117,29.416,15.533,10433
S2,256,2,1,TallyValidity,0.533,4.281,15.684,5.417,0.794,0.006741,17.011,9.704,10241
S3,5000,2,1,VoteProofCombined,3.832,10.064,27.11,6.769,0.819,0.007116,31.76,16.84,11643
S3,5000,2,1,TallyValidity,0.525,4.281,15.324,5.417,0.825,0.006743,16.675,9.704,10241
S4,10000,2,1,VoteProofCombined,3.991,10.211,27.243,6.883,0.828,0.007115,32.062,17.101,11885
S4,10000,2,1,TallyValidity,0.519,4.281,15.142,5.417,0.844,0.006742,16.505,9.704,10241
S5,1000,4,1,VoteProofCombined,4.747,14.354,32.8,11.101,0.803,0.007113,38.35,25.462,18161
S5,1000,4,1,TallyValidity,0.838,8.529,24.64,10.831,0.818,0.006743,26.296,19.366,20481
S6,1000,8,1,VoteProofCombined,6.029,23.893,40.172,18.454,0.842,0.007118,47.042,42.354,32649
S6,1000,8,1,TallyValidity,1.541,17.053,39.099,21.659,0.815,0.006742,41.456,38.719,40961
S7,1000,10,2,VoteProofCombined,7.178,28.662,51.803,24.131,0.841,0.007114,59.822,52.8,39893
S7,1000,10,2,TallyValidity,1.924,21.332,41.922,26.073,0.836,0.006741,44.682,47.412,51201
