scenario,n,q,s,trustees,threshold,circuit,compile_time_s,compile_size_mb,zkey_time_s,zkey_size_mb,export_time_s,export_size_mb,total_time_s,total_size_mb,constraints
S2,256,2,1,3,2,VoteProofCombined,4.229,9.331,24.906,6.195,0.874,0.007117,30.009,15.533,10433
S2,256,2,1,3,2,TallyValidity,0.603,4.281,15.786,5.417,0.816,0.006742,17.205,9.704,10241
S3,5000,2,1,3,2,VoteProofCombined,4.244,10.064,27.083,6.769,0.897,0.007116,32.225,16.84,11643
S3,5000,2,1,3,2,TallyValidity,0.514,4.281,15.087,5.417,0.893,0.006744,16.493,9.704,10241
S4,10000,2,1,3,2,VoteProofCombined,4.199,10.211,27.71,6.883,0.843,0.007113,32.752,17.101,11885
S4,10000,2,1,3,2,TallyValidity,0.521,4.281,15.112,5.417,0.902,0.006743,16.535,9.704,10241
S5,1000,4,1,3,2,VoteProofCombined,4.73,14.354,32.172,11.101,0.82,0.007116,37.722,25.462,18161
S5,1000,4,1,3,2,TallyValidity,0.846,8.529,24.161,10.831,0.821,0.006742,25.829,19.366,20481
S6,1000,8,1,3,2,VoteProofCombined,6.431,23.893,40.259,18.454,0.82,0.007117,47.51,42.354,32649
S6,1000,8,1,3,2,TallyValidity,1.747,17.053,40.127,21.659,0.806,0.006744,42.68,38.719,40961
S7,1000,10,2,3,2,VoteProofCombined,6.856,28.662,53.51,24.131,0.887,0.007115,61.253,52.8,39893
S7,1000,10,2,3,2,TallyValidity,1.894,21.332,42.001,26.073,0.815,0.006742,44.71,47.412,51201
S8,1000,2,1,3,2,VoteProofCombined,3.775,9.623,24.892,6.424,0.8,0.007113,29.467,16.055,10917
S8,1000,2,1,3,2,TallyValidity,0.477,4.281,14.798,5.417,0.837,0.006743,16.112,9.704,10241
S9,1000,2,1,5,3,VoteProofCombined,3.744,9.623,24.724,6.424,0.863,0.007114,29.331,16.055,10917
S9,1000,2,1,5,3,TallyValidity,0.679,6.404,18.718,7.623,0.801,0.006742,20.197,14.034,15361
S10,1000,2,1,7,4,VoteProofCombined,3.648,9.623,25.022,6.424,0.782,0.007114,29.452,16.055,10917
S10,1000,2,1,7,4,TallyValidity,0.858,8.527,24.922,10.83,0.777,0.006743,26.557,19.364,20481
